Stock1,Stock2
1717.3,872.81
1719.2,877.52
1763.56,907.24
1754.12,903.8
1759.1,919.53
1716.24,907.39
1739,929.23
1731.24,909.24
1715.92,908.35
1664.19,883.92
1689.21,893.07
1680.14,882.88
1732.36,909.71
1734.54,908.13
1727.84,903.47
1695.25,888.33
1692.01,887
1750.43,910.33
1731.08,893.06
1751.79,906.83
1774.33,919.14
1828.68,942.87
1836.8,944.74
1825.92,931.76
1850.02,942.46
1849.42,940.09
1842.4,939.14
1860.13,942.43
1853.08,939.15
1862.37,944.89
1858.8,946.21
1816.38,923.72
1796.18,911.97
1808.06,910.71
1807.72,918.37
1827.47,921.23
1766.19,893.04
1764.92,895.1
1792.34,900.94
1829.54,920.26
1838.22,918.9
1844.06,927.23
1835.04,919.32
1845.72,923.33
1796.52,896.42
1787.4,898.72
1746.17,881.03
1747.17,879.56
1752.55,882.68
1756.03,879.13
1793.21,901.05
1799.73,905.84
1862.9,932.68
1885.03,940.74
1886.61,940.38
1909.29,951.13
1916.2,954.58
1926.38,954.07
1973.6,976.29
1965.96,979.26
1967.89,982.18
1975.51,979.62
1967.76,975.15
1984.3,986.75
1978.5,987.48
2008.61,1002.63
2011.31,1005.65
1993.05,1002.72
1973.16,997.08
2000.25,1010.48
1992.24,1007.1
1969.73,994.35
1998.72,1005.81
2009.35,1012.73
1985.52,1004.09
1930.84,979.73
1955.92,989.67
1969.24,996.46
1989.22,1007.37
2020.9,1026.13
2017.98,1025.57
2024.23,1028
2024.43,1028.12
2027.73,1030.98
2028.77,1028.93
2009.06,1020.62
1968.89,998.04
1967.07,994.75
1983.2,1003.24
2018.78,1016.4
2037.77,1025.39
2060.39,1033.37
2084.02,1044.14
2080.9,1042.73
2091.78,1049.34
2102.64,1052.63
2133.15,1068.76
2126.75,1065.49
2132.86,1068.3
2138.04,1064.66
2146.3,1071.66
2131.42,1060.87
2107.61,1050.78
2090.92,1044.38
2130.74,1062.98
2124.04,1060.61
2122.42,1057.08
2057.48,1029.85
2048.11,1025.21
2068.15,1040.46
2103.57,1054.72
2110.33,1057.58
2123.93,1065.48
2139.28,1071.49
2139.14,1076.19
2139.89,1073.19
2172.23,1092.02
2173.29,1096.56
2156.8,1087.68
2176.32,1097.91
2163.47,1091.06
2150.73,1081.4
2165.29,1092.91
2154.47,1079.6
2141.85,1066.95
2116.09,1063.41
2059.61,1042.63
2097.55,1066.11
2045.11,1036.19
2049.2,1042.88
2057.32,1045.41
2055.52,1046.5
2105.32,1066.63
2112.44,1069.3
2154.06,1093.08
2151.08,1093.01
2166.9,1098.51
2149.02,1087.24
2167.88,1093.48
2197.85,1109.3
2203.78,1110.32
2193.14,1109.8
2156.82,1094.9
2146.04,1091.38
2176.01,1106.24
2169.18,1105.65
2176.05,1110.63
2138.44,1091.49
2144.6,1095.63
2175.81,1108.86
2185.03,1109.24
2173.14,1099.92
2194.35,1105.98
2189.61,1103.25
2172.99,1091.94
2183.73,1095.95
2190.86,1102.35
2190.31,1106.41
2212.1,1114.11
2201.05,1107.93
2206.91,1109.18
