Stock1,Stock2
3.41657894,3.16051655
3.41542077,3.16051655
3.39874705,3.14972088
3.39784619,3.15111846
3.38748059,3.14307416
3.39349623,3.14895106
3.39594114,3.15238926
3.38737915,3.14644434
3.39415388,3.15113992
3.38338265,3.14017795
3.37923116,3.13773379
3.37049458,3.12491159
3.36921957,3.12227815
3.36026577,3.11743703
3.36481543,3.12665082
3.37308127,3.13099918
3.36664705,3.12405078
3.37105123,3.13160904
3.37255485,3.13427276
3.37088302,3.13219883
3.37837246,3.13942252
3.38262211,3.14470494
3.3770967,3.14013707
3.36353113,3.12601445
3.35769668,3.12269088
3.36040974,3.12610217
3.36264267,3.12427267
3.36549922,3.12682274
3.36549547,3.12996688
3.37546791,3.13583523
3.3678291,3.12996688
3.36582481,3.13033055
3.36289697,3.12994112
3.36681505,3.13354849
3.36168629,3.127924
3.36235994,3.1313331
3.36688596,3.1372908
3.370141,3.14028487
3.37176587,3.13988538
3.36764846,3.1359845
3.35630892,3.12405731
3.35383932,3.12428898
3.35416224,3.1227891
3.35656313,3.12505815
3.34645078,3.11539081
3.34488132,3.11172278
3.33632762,3.10495461
3.35329289,3.12078774
3.35099769,3.11686333
3.3548016,3.11908425
3.34488132,3.10996307
3.33786042,3.10605484
3.35569283,3.12409321
3.34438441,3.1134152
3.35374509,3.12369161
3.36674972,3.13029516
3.36941069,3.13129459
3.36630339,3.12747088
3.35809292,3.12246491
3.35433514,3.1189984
3.35776338,3.12146135
3.37341777,3.13677762
3.37316956,3.13593686
3.37351885,3.13650178
3.37492789,3.13684735
3.37379993,3.13752501
3.37083864,3.13530443
3.36588466,3.1317758
3.37138192,3.13371451
3.359881,3.12477476
3.35713791,3.12330271
3.35908383,3.1252958
3.37108819,3.13504037
3.36955537,3.13531079
3.38074835,3.14311789
3.3816637,3.14244265
3.37601822,3.1385995
3.381153,3.13985706
3.38541321,3.14264596
3.38434087,3.14545746
3.38460428,3.14500051
3.3849087,3.1433084
3.38252132,3.14163474
3.394576,3.14901578
3.39392425,3.15041869
3.39166185,3.14844532
3.39503094,3.15175585
3.38712098,3.14381703
3.38938583,3.14540775
3.38837122,3.14247707
3.3959359,3.14723717
3.39709144,3.14707005
3.39736636,3.14880618
3.40376033,3.15337883
3.40292307,3.15392152
3.40072617,3.15431135
3.39659335,3.15026509
3.38885931,3.14323658
3.39174292,3.1443718
3.38822024,3.13859634
3.39466877,3.14155951
3.39562339,3.14327717
3.39938294,3.14558793
3.40185872,3.1462459
3.39646612,3.14165981
3.39453573,3.1391389
3.39848514,3.13899701
3.40652996,3.14738257
3.39349799,3.133756
3.39083976,3.13410057
3.38897814,3.13304046
3.37912596,3.12564064
3.38099769,3.12706266
3.38996304,3.13354849
3.3935366,3.13358361
3.39053417,3.13063285
3.38555444,3.12639444
3.39129863,3.12802104
3.38131187,3.11989234
3.37762311,3.11991541
3.37443305,3.1186912
3.38043919,3.1212216
3.36574437,3.10827743
3.36466917,3.10665997
3.36040027,3.10720997
3.36266528,3.10887271
3.35246424,3.10089414
3.35128985,3.10136896
3.35089123,3.09771185
3.36067671,3.10506715
3.34925615,3.0950612
3.35369509,3.09808623
3.35006961,3.09324303
3.3449559,3.08930445
3.34551292,3.08454411
3.35885769,3.09529491
3.36404418,3.10048083
3.35846406,3.10060486
3.35784531,3.10037055
3.36247493,3.1061909
3.3665873,3.10795239
3.3579558,3.0977916
3.36371161,3.09959778
3.35491862,3.09144536
3.36541684,3.10147212
3.36730373,3.10865296
3.36652568,3.10290685
3.36379243,3.10047738
3.35899263,3.09656592
3.37103644,3.10886257
3.37627942,3.11031693
3.37212551,3.10245772
3.38275526,3.11271222
3.38738093,3.11571699
3.38571528,3.11045166
3.38535957,3.10918355
3.38981615,3.11157501
3.38961256,3.1133416
3.38327306,3.1067347
3.37737183,3.10267034
3.37823069,3.10535347
3.37664629,3.10643569
3.38286498,3.11132974
3.37393948,3.10272177
3.37327438,3.10431978
3.37702562,3.10777283
3.38231248,3.11417046
3.37429366,3.10816911
3.37092739,3.1063881
3.36805061,3.10550337
3.35392392,3.09231001
3.35331599,3.09422998
3.35597994,3.10304732
3.34435493,3.08796234
3.34805161,3.09062481
3.35376625,3.09657982
3.35435242,3.09750025
3.33843856,3.07653122
3.3439794,3.08407199
3.3219814,3.06310433
3.34224498,3.08153093
3.35677136,3.09867141
3.33825324,3.08173965
3.33311059,3.07489686
3.33358429,3.07403708
3.33976339,3.08249096
3.33912137,3.08386438
3.29748256,3.04390824
3.32053677,3.06683262
3.31584444,3.06485466
3.29594516,3.04699434
3.28945294,3.04108857
3.27020353,3.02402979
3.24424742,2.99835962
3.24063161,2.99340978
3.21619758,2.95900321
3.21735495,2.95386596
3.26581979,3.00145246
3.25017839,2.99913489
3.21174242,2.95800931
3.23494984,2.9760885
3.23332361,2.97338189
3.24798063,2.99361256
3.22959994,2.98002611
3.20837416,2.95268591
3.20518,2.95813846
3.19090011,2.94288568
3.17779613,2.92886677
3.21734442,2.97336342
3.21937755,2.96852498
3.23007067,2.97958934
3.23576825,2.98621172
3.23712382,2.98511198
3.25044928,3.00249004
3.22573303,2.97898807
3.20647506,2.95659099
3.21679906,2.96894502
3.20864018,2.96341474
3.1989044,2.95373554
3.17586247,2.93059249
3.20322333,2.9596566
3.18094264,2.94115849
3.17086286,2.92980196
3.17122021,2.93405383
3.14189481,2.90664745
3.11929549,2.87647187
3.14124591,2.90310627
3.16791371,2.93034273
3.16575758,2.93317841
3.18528711,2.94825644
3.18626962,2.95242432
3.14552892,2.91180191
3.1613081,2.92881049
3.17387942,2.9398885
3.16003612,2.92696976
3.17877845,2.94253881
3.19638071,2.95889819
3.18958575,2.94874052
3.19464752,2.95387562
3.17836678,2.94130765
3.18772372,2.9443494
3.17849925,2.93880482
3.20136708,2.96055639
3.19846739,2.95637016
3.19099524,2.94708065
3.1943256,2.94835427
3.18535797,2.94033217
3.18228337,2.93609131
3.18324136,2.93859477
3.18475955,2.94091474
3.17906897,2.93922963
3.19052779,2.9497022
3.19783996,2.95580797
3.21277603,2.96932271
3.2116624,2.96729051
3.21810993,2.97067224
3.20386476,2.95743967
3.20871271,2.95891252
3.19633926,2.94956076
3.18717936,2.93964902
3.18933869,2.94041188
3.17308133,2.92563176
3.17950583,2.92620864
3.18450121,2.92948023
3.15862178,2.90591455
3.17813342,2.92440335
3.16598286,2.917768
3.16946576,2.92009723
3.17302884,2.92250229
3.17750764,2.92722147
3.19266222,2.94155615
3.17835526,2.92692866
3.16920992,2.91691695
3.17447558,2.91668551
3.18078513,2.92350825
3.18042697,2.92024337
3.1892769,2.92729335
3.20186394,2.93881983
3.20182302,2.93946434
3.18319295,2.91758952
3.18483333,2.92103064
3.18800269,2.92178529
3.18592727,2.91742148
3.16751228,2.89717057
3.16671718,2.89675763
3.15921215,2.89150401
3.15873329,2.88651893
3.14230185,2.87118166
3.15891406,2.88825814
3.15394589,2.88360466
3.14347385,2.87669692
3.13919879,2.86634051
3.1215106,2.84560649
3.12090611,2.84281511
3.13153526,2.85301034
3.11380636,2.83413447
3.11188393,2.83466226
3.1033384,2.83028706
3.13298931,2.85709115
3.13724014,2.85815206
3.15414998,2.87548956
3.15579135,2.87883764
3.14737329,2.87730798
3.16498005,2.89104658
3.17354172,2.9000119
3.1712817,2.89433822
3.16354002,2.88566648
3.19194539,2.91535762
3.18084814,2.9063997
3.18439328,2.91056038
3.20057693,2.920572
3.1889847,2.91165822
3.1766121,2.89626711
3.18429101,2.90193214
3.19077977,2.90906369
3.20483327,2.92136389
3.21001604,2.92556991
3.2059375,2.92193606
3.19357258,2.91145059
3.20157736,2.91653817
3.21815198,2.93275779
3.21835429,2.93385664
3.21104575,2.92505412
3.21133416,2.93047018
3.22283088,2.9371667
3.22351411,2.93931953
3.20634276,2.92032685
3.21586219,2.9294598
3.21646149,2.92611083
3.21806525,2.93039881
3.22898775,2.93763322
3.22515673,2.93323919
3.22370616,2.93204738
3.23348854,2.94133251
3.23484617,2.94091971
3.2353264,2.94325702
3.24639024,2.95772219
3.2440593,2.95607234
3.24529053,2.9635659
3.23457802,2.95779399
3.24029958,2.96812322
3.23835728,2.95867853
3.23449704,2.95825322
3.22120291,2.94641296
3.22768364,2.9508855
3.22534547,2.94590168
3.23863815,2.95890297
3.23918432,2.95814802
3.23750352,2.95591374
3.22923375,2.94857433
3.22840293,2.94792362
3.24314475,2.95919886
3.23831714,2.95088064
3.24348204,2.95752588
3.2490344,2.96338167
3.26213772,2.97445182
3.26406187,2.9753123
3.26148175,2.96930406
3.26717642,2.97426293
3.26703555,2.97316943
3.26538392,2.97273034
3.2695433,2.9742491
