Stock1,Stock2
15832.8,4796.56
15622.72,4793.54
15100.17,4700.58
15080.86,4696.05
14935.9,4677.03
14942.83,4670.29
15153.45,4713.07
15188.39,4726.35
14806.81,4659.03
14893.75,4662.85
14506.9,4577.11
14340.26,4532.76
14154.02,4482.73
13768.92,4397.94
13855.13,4410.13
13539.29,4356.45
13542.12,4349.93
13352.78,4326.51
13770.57,4431.85
14239.88,4515.55
14346,4546.54
14417.55,4589.38
13878.82,4477.44
14098.01,4500.53
14015.67,4483.87
14194.45,4521.54
14490.37,4587.18
14185.64,4504.08
13791.15,4418.64
13790.92,4401.67
14139.76,4471.07
14124.09,4475.01
13716.72,4380.26
13548.07,4348.87
13381.52,4304.76
13037.49,4225.5
13473.59,4288.7
13694.62,4384.65
13751.4,4373.94
13532.46,4306.26
13752.02,4386.54
13537.94,4363.49
13313.44,4328.87
12830.96,4201.09
12795.55,4170.7
13255.55,4277.88
13129.96,4259.52
12843.81,4204.31
12581.22,4173.11
12948.62,4262.45
13436.55,4357.86
13614.78,4411.67
13893.84,4463.12
13838.46,4461.18
14108.82,4511.61
13922.6,4456.24
14191.84,4520.16
14169.3,4543.06
14354.9,4575.52
14619.64,4631.6
14442.27,4602.45
14220.52,4530.41
14261.5,4545.86
14532.55,4582.64
14204.17,4525.12
13888.82,4481.15
13897.3,4500.21
13711,4488.28
13411.96,4412.53
13371.57,4397.45
13643.59,4446.59
13351.08,4392.59
13332.36,4391.69
13619.66,4462.21
13453.07,4459.45
13174.65,4393.66
12839.29,4271.78
13004.85,4296.12
12490.74,4175.2
12488.93,4183.96
12871.53,4287.5
12334.64,4131.93
12536.02,4155.38
12563.76,4175.48
12964.86,4300.17
12317.69,4146.87
12144.66,4123.34
11623.25,3991.24
11737.67,4001.05
11364.24,3935.18
11370.96,3930.08
11805,4023.89
11662.79,4008.01
11984.52,4088.85
11418.15,3923.68
11388.5,3900.79
11354.62,3901.36
11535.27,3973.75
11264.45,3941.48
11434.74,3978.73
11740.65,4057.84
12131.13,4158.24
12081.39,4132.15
11994.46,4101.23
12316.9,4176.82
12012.73,4108.54
12061.37,4121.43
12175.23,4160.68
12086.27,4115.77
11754.23,4017.82
11340.02,3900.86
10809.23,3749.63
10828.35,3735.48
11099.15,3789.99
10646.1,3666.77
10798.35,3674.84
11069.3,3764.79
11053.08,3759.89
11232.19,3795.73
11607.62,3911.74
11524.55,3900.11
11181.54,3821.55
11177.89,3818.83
11028.74,3785.38
11127.85,3825.33
11322.24,3831.39
11361.85,3845.08
