Stock1,Stock2
4.061166248,3.608572028
4.065270034,3.609654161
4.056668973,3.603985072
4.063879168,3.6102981
4.072482244,3.614813933
4.08638902,3.621151345
4.079432702,3.616630929
4.075088703,3.613955928
4.083280041,3.619510721
4.075930723,3.614671577
4.071498334,3.610819801
4.068857941,3.61177215
4.075247231,3.616715963
4.077736626,3.61659418
4.081728499,3.617796866
4.073931963,3.611766841
4.071413232,3.610563288
4.060406954,3.601771089
4.060964755,3.601087169
4.064098424,3.603395563
4.056712043,3.598794883
4.059449055,3.60012743
4.059015566,3.598806916
4.056122417,3.596749896
4.059297535,3.600030358
4.06777773,3.606987235
4.067284415,3.607285562
4.061841737,3.600577606
4.063558518,3.601191621
4.054549859,3.593099901
4.046841915,3.586766161
4.048785063,3.586109994
4.057975932,3.593207399
4.058200087,3.59016502
4.068826808,3.597725893
4.065598759,3.592913655
4.067276976,3.59676968
4.074088717,3.602371486
4.067069367,3.595162105
4.071418021,3.596456339
4.072762952,3.598898793
4.070733659,3.599613464
4.068782328,3.598929415
4.076503545,3.605068976
4.079668468,3.607544018
4.087139081,3.613768905
4.08598411,3.615372361
4.083729383,3.612847407
4.079067591,3.611763656
4.082353014,3.613315277
4.082223655,3.613747767
4.080333492,3.6137298
4.076616417,3.611930318
4.08515745,3.617652342
4.083626942,3.616752702
4.084852137,3.618186212
4.084698149,3.61855744
4.084834633,3.618520854
4.081331463,3.615927968
4.081795775,3.616320043
4.080525476,3.61668972
4.07185109,3.609768306
4.073877746,3.608096876
4.084298813,3.616512272
4.087304994,3.620081895
4.086808133,3.619914164
4.082085269,3.614852941
4.080097003,3.611802939
4.077963516,3.608656516
4.087618527,3.61660678
4.088381351,3.61680308
4.085631243,3.614809716
4.090132439,3.616752702
4.090910592,3.616015244
4.089365969,3.615327081
4.092201496,3.61660993
4.091422488,3.613831255
4.096929816,3.618964902
4.103421921,3.623047607
4.10236166,3.622419202
4.104513742,3.622486538
4.098998284,3.6175853
4.096359326,3.614395168
4.103738401,3.618182027
4.113130461,3.623812474
4.114525251,3.623819703
4.11177617,3.621158619
4.117303784,3.62541741
4.121913242,3.631684188
4.121541133,3.630813179
4.123080983,3.631834256
4.11743338,3.630175565
4.121839436,3.63285496
4.122515356,3.633353302
4.129107005,3.637382644
